date,demand_forecast,traffic_forecast,orders_forecast,units_forecast
2024-10-21,458668.714,222115.6,3109.6184,7774.046
2024-10-22,463893.164,216899.2,3145.0384,7862.596
2024-10-23,503804.4515,220362.8,3415.6234,8539.0585
2024-10-24,448118.487,216954,3254.31,8298.4905
2024-10-25,473981.6866,191229.6,3442.1328,8777.43864
2024-10-26,424058.7168,192474,3079.584,7852.9392
2024-10-27,327855.8312,189238.575,2365.482188,5204.060813
2024-10-28,321086.6678,185331.41,2316.642625,5096.613775
2024-10-29,379860.7355,189835.45,2752.614025,6331.012258
2024-10-30,519056.2172,247789.1,3716.8365,9106.249425
2024-10-31,475215.9905,189050.4,3402.9072,8337.12264
2024-11-01,530872.0177,205483.6,3801.4466,9313.54417
2024-11-02,300339.963,173356.4,2166.955,4767.301
2024-11-03,333335.02,207920,2316,5391
2024-11-04,382642.35,196973,2402,6380
2024-11-05,336443.4662,188420.4,2261.0448,5426.50752
2024-11-06,368755.3267,206516.2,2478.1944,5947.66656
2024-11-07,433092.944,235376.6,2942.2075,6767.07725
2024-11-08,417198.288,218017.5,2834.2275,6518.72325
2024-11-09,405671.056,220473.4,2755.9175,6338.61025
2024-11-10,408544.2086,228799.4,2745.5928,6589.42272
2024-11-11,494334.4594,225476.4,3156.6696,8523.00792
2024-11-12,387216.3594,219212.16,2630.54592,6050.255616
2024-11-13,460081.2029,240427.05,3125.55165,7188.768795
2024-11-14,527420.268,254792.4,3821.886,8790.3378
2024-11-15,564357.7125,232965,3960.405,9901.0125
2024-11-16,533233.575,267285,3741.99,9354.975
2024-11-17,559890.6047,291041.25,3929.056875,9822.642188
2024-11-18,476952.84,288015,3456.18,7949.214
2024-11-19,494508.924,255957,3583.398,8241.8154
2024-11-20,580007.6125,271190,3932.255,9830.6375
2024-11-21,600342.7,254382.5,4070.12,10175.3
2024-11-22,583868.9265,255382.8,3958.4334,9896.0835
2024-11-23,580395.4254,281063.16,3934.88424,9837.2106
2024-11-24,727045.2,352080,4929.12,12322.8
2024-11-25,775514.7502,328607.945,5257.72712,13144.3178
2024-11-26,872247.805,329710,6099.635,15859.051
2024-11-27,1049170.444,326082.5,7336.85625,19075.82625
2024-11-28,1520373.677,361563.3,10485.3357,30407.47353
2024-11-29,3200846.906,490551.25,22074.80625,64016.93813
2024-11-30,1811031.966,438241.25,12489.87563,36220.63931
2024-12-01,1739407.855,389477.8,11995.91624,34788.1571
2024-12-02,2946661.16,474104.08,20765.7587,68527.00372
2024-12-03,1843062.255,392508.36,13188.2809,42861.91291
2024-12-04,1470338.888,373092.5,10521.2085,34193.92763
2024-12-05,1686129.291,381814.11,12065.32588,39212.3091
2024-12-06,1384265.133,382898.75,11295.51313,32192.21241
2024-12-07,1305519.176,394553.75,10652.95125,30360.91106
2024-12-08,1379353.866,375181.25,11255.4375,32077.99688
2024-12-09,1630147.68,339614.1,12735.52875,40753.692
2024-12-10,1112195.325,312946.25,9075.44125,25865.00756
2024-12-11,1150806.311,298111.25,9390.504375,26762.93747
2024-12-12,1330102.553,304875,10853.55,30932.6175
2024-12-13,1345724.614,300850,10981.025,31295.92125
2024-12-14,1151396.466,293603.75,9395.32,26776.662
2024-12-15,1232050.298,304650,10053.45,28652.3325
2024-12-16,1158705.348,295467.5,9454.96,26946.636
2024-12-17,996970.2919,271173.75,8135.2125,23185.35563
2024-12-18,982480.8938,285397.5,7705.7325,19649.61788
2024-12-19,960676.9594,279063.75,7534.72125,19213.53919
2024-12-20,945875.9625,264951.25,7418.635,18917.51925
2024-12-21,623229.894,244403.88,4888.0776,12464.59788
2024-12-22,562233.1596,238360.64,4409.67184,11244.66319
2024-12-23,477796.968,234214.2,3747.4272,9555.93936
2024-12-24,440144.5701,222717.05,3452.114275,8802.891401
2024-12-25,621698.2875,270892.5,4876.065,12433.96575
2024-12-26,928463.5027,286138.9,7439.6114,19342.98964
2024-12-27,843187.8374,254955.2,6756.3128,17566.41328
2024-12-28,756889.4362,252700.8,6064.8192,15768.52992
2024-12-29,712604.0688,248259.5,5709.9685,14845.9181
2024-12-30,646156.368,235342.5,5177.535,13461.591
2024-12-31,477780.4387,201493.1,3828.3689,9953.75914
2025-01-01,447648.215,224182.8,3586.9248,9326.00448
2025-01-02,433441.008,224070,3473.085,9030.021
2025-01-03,659402.64,229725,5283.675,13737.555
2025-01-04,607750.1539,231894.9,4869.7929,12661.46154
2025-01-05,441190.5389,202010.32,3535.1806,9191.46956
2025-01-06,458443.8144,222632,3673.428,9550.9128
2025-01-07,440885.1982,227918.32,3532.73396,9185.108296
2025-01-08,435181.0644,205119.28,3487.02776,9066.272176
2025-01-09,445461.744,203966,3569.405,9280.453
2025-01-10,589590.5694,220078.6,4181.4934,12544.4802
2025-01-11,493618.5846,232663.36,3955.27712,10283.72051
2025-01-12,501884.3382,251344.32,4021.50912,10455.92371
2025-01-13,437743.4481,219222.48,3507.55968,9119.655168
2025-01-14,429354.1325,229355.84,3440.3376,8944.87776
2025-01-15,462610.9763,224655.68,3706.81872,9637.728672
2025-01-16,491307.3984,224957.6,3936.758,10235.5708
2025-01-17,603096.6942,227026.8,5221.6164,18275.6574
2025-01-18,634982.4835,229070.16,5497.68384,19241.89344
2025-01-19,524136.1356,226898.76,4537.9752,15882.9132
2025-01-20,417898.845,226044,3277.638,8357.9769
2025-01-21,396087.9396,214246.35,3106.572075,7921.758791
2025-01-22,469648.9148,216677.7,3683.5209,9392.978295
2025-01-23,453000.5116,203184.8,3555.734,8711.5483
2025-01-24,780980.4475,256732.56,6675.04656,21693.90132
2025-01-25,735692.958,251518.96,6287.974,20435.9155
2025-01-26,632090.1542,240110.22,5402.47995,17558.05984
2025-01-27,320997.5241,179971.7,2519.6038,6173.02931
2025-01-28,315510.3067,190502.54,2476.53302,6067.505899
2025-01-29,357031.8803,200174.86,2802.44804,6865.997698
2025-01-30,320730.0062,212123.02,2545.47624,5727.32154
2025-01-31,277460.6783,176165.51,2202.068875,4954.654969
2025-02-01,276574.0874,182919.37,2195.03244,4938.82299
2025-02-02,326476.5446,161522.1,2422.8315,5935.937175
2025-02-03,318561.8349,157606.35,2364.09525,5792.033363
2025-02-04,324481.5574,150501.65,2408.0264,5899.66468
2025-02-05,354782.3048,164555.8,2632.8928,6450.58736
2025-02-06,313105.0138,166403.6,2329.6504,5591.16096
2025-02-07,302373.3082,160700.1,2249.8014,5399.52336
2025-02-08,286909.728,170779.6,2134.745,5123.388
2025-02-09,291148.704,173302.8,2166.285,5199.084
2025-02-10,262240.02,156095.25,1951.190625,4682.8575
2025-02-11,280672.3046,160641.2,2088.3356,5012.00544
2025-02-12,454645.8259,161462.4,3067.7856,8743.18896
2025-02-13,457000.3757,176209.9,3083.67325,8788.468763
2025-02-14,472874.1592,172474.8,3190.7838,9093.73383
2025-02-15,480688.6266,185343.6,3243.513,9244.01205
2025-02-16,528765.6254,209877.6,3567.9192,10168.56972
2025-02-17,563554.2416,205549.2,3802.6602,10837.58157
2025-02-18,431003.1539,200569.2,2908.2534,8288.52219
2025-02-19,470178.3715,192278.4,3172.5936,9041.89176
2025-02-20,423784.3787,187200.45,3088.807425,7567.578191
2025-02-21,405112.4568,173689.1,2952.7147,7234.151015
2025-02-22,364159.3956,176948.2,2654.223,6502.84635
2025-02-23,394053.0255,185297.2,2872.1066,7036.66117
2025-02-24,611540.6336,218798.08,4704.15872,18816.63488
2025-02-25,651345.8515,227226.88,5010.352704,20041.41082
