channel,sku,date,inventory_units,inventory_cost,inventory_retail
004:ECOM FULL PRICE,197516651052,4/19/2025,138,579.6,8142
004:ECOM FULL PRICE,197516651069,4/19/2025,82,344.4,4838
004:ECOM FULL PRICE,197516651076,4/19/2025,121,508.2,7139
004:ECOM FULL PRICE,197516651274,4/19/2025,2,10.1,158
004:ECOM FULL PRICE,197516651281,4/19/2025,1,5.05,79
004:ECOM FULL PRICE,197516651298,4/19/2025,1,5.05,79
004:ECOM FULL PRICE,197516651335,4/19/2025,45,438.75,5355
004:ECOM FULL PRICE,197516651342,4/19/2025,182,1774.5,21658
004:ECOM FULL PRICE,197516651359,4/19/2025,296,2886,35224
004:ECOM FULL PRICE,197516651366,4/19/2025,284,2769,33796
004:ECOM FULL PRICE,197516651373,4/19/2025,230,2242.5,27370
004:ECOM FULL PRICE,197516651380,4/19/2025,167,1628.25,19873
004:ECOM FULL PRICE,197516651397,4/19/2025,135,1316.25,16065
004:ECOM FULL PRICE,197516651410,4/19/2025,21,204.75,2499
004:ECOM FULL PRICE,197516651427,4/19/2025,90,877.5,10710
004:ECOM FULL PRICE,197516651434,4/19/2025,148,1443,17612
004:ECOM FULL PRICE,197516651441,4/19/2025,146,1423.5,17374
004:ECOM FULL PRICE,197516651458,4/19/2025,124,1209,14756
004:ECOM FULL PRICE,197516651465,4/19/2025,73,711.75,8687
004:ECOM FULL PRICE,197516651472,4/19/2025,59,575.25,7021
004:ECOM FULL PRICE,197516651571,4/19/2025,46,264.5,4094
004:ECOM FULL PRICE,197516651588,4/19/2025,139,799.25,12371
004:ECOM FULL PRICE,197516651595,4/19/2025,255,1466.25,22695
004:ECOM FULL PRICE,197516651601,4/19/2025,313,1799.75,27817
004:ECOM FULL PRICE,197516651618,4/19/2025,299,1719.25,26611
004:ECOM FULL PRICE,197516651625,4/19/2025,212,1219,18868
004:ECOM FULL PRICE,197516651632,4/19/2025,145,833.75,12905
004:ECOM FULL PRICE,197516651656,4/19/2025,32,184,2848
004:ECOM FULL PRICE,197516651663,4/19/2025,85,488.75,7565
004:ECOM FULL PRICE,197516651670,4/19/2025,173,994.75,15397
004:ECOM FULL PRICE,197516651687,4/19/2025,203,1167.25,18067
004:ECOM FULL PRICE,197516651694,4/19/2025,188,1081,16732
004:ECOM FULL PRICE,197516651700,4/19/2025,136,782,12104
004:ECOM FULL PRICE,197516651717,4/19/2025,94,540.5,8366
004:ECOM FULL PRICE,197516651816,4/19/2025,23,192.05,2737
004:ECOM FULL PRICE,197516651823,4/19/2025,133,1110.55,15827
004:ECOM FULL PRICE,197516651830,4/19/2025,207,1728.45,24633
004:ECOM FULL PRICE,197516651847,4/19/2025,205,1711.75,24395
004:ECOM FULL PRICE,197516651854,4/19/2025,176,1469.6,20944
004:ECOM FULL PRICE,197516651861,4/19/2025,121,1010.35,14399
004:ECOM FULL PRICE,197516651878,4/19/2025,85,709.75,10115
004:ECOM FULL PRICE,197516651892,4/19/2025,4,33.4,476
004:ECOM FULL PRICE,197516651908,4/19/2025,69,576.15,8211
004:ECOM FULL PRICE,197516651915,4/19/2025,64,534.4,7616
004:ECOM FULL PRICE,197516651922,4/19/2025,79,659.65,9401
004:ECOM FULL PRICE,197516651939,4/19/2025,70,584.5,8330
004:ECOM FULL PRICE,197516651946,4/19/2025,52,434.2,6188
004:ECOM FULL PRICE,197516651953,4/19/2025,35,292.25,4165
004:ECOM FULL PRICE,197516651977,4/19/2025,30,250.5,3570
004:ECOM FULL PRICE,197516651984,4/19/2025,115,960.25,13685
004:ECOM FULL PRICE,197516651991,4/19/2025,171,1427.85,20349
004:ECOM FULL PRICE,197516652004,4/19/2025,177,1477.95,21063
004:ECOM FULL PRICE,197516652011,4/19/2025,134,1118.9,15946
004:ECOM FULL PRICE,197516652028,4/19/2025,93,776.55,11067
004:ECOM FULL PRICE,197516652035,4/19/2025,71,592.85,8449
004:ECOM FULL PRICE,197516652059,4/19/2025,14,102.2,1526
004:ECOM FULL PRICE,197516652066,4/19/2025,71,518.3,7739
004:ECOM FULL PRICE,197516652073,4/19/2025,157,1146.1,17113
004:ECOM FULL PRICE,197516652080,4/19/2025,183,1335.9,19947
004:ECOM FULL PRICE,197516652097,4/19/2025,190,1387,20710
004:ECOM FULL PRICE,197516652103,4/19/2025,160,1168,17440
004:ECOM FULL PRICE,197516652110,4/19/2025,82,598.6,8938
004:ECOM FULL PRICE,197516652141,4/19/2025,8,58.4,872
004:ECOM FULL PRICE,197516652158,4/19/2025,2,14.6,218
004:ECOM FULL PRICE,197516652165,4/19/2025,26,189.8,2834
004:ECOM FULL PRICE,197516652172,4/19/2025,64,467.2,6976
004:ECOM FULL PRICE,197516652189,4/19/2025,75,547.5,8175
004:ECOM FULL PRICE,197516652196,4/19/2025,54,394.2,5886
004:ECOM FULL PRICE,197516652219,4/19/2025,25,182.5,2725
004:ECOM FULL PRICE,197516652226,4/19/2025,81,591.3,8829
004:ECOM FULL PRICE,197516652233,4/19/2025,137,1000.1,14933
004:ECOM FULL PRICE,197516652240,4/19/2025,155,1131.5,16895
004:ECOM FULL PRICE,197516652257,4/19/2025,161,1175.3,17549
004:ECOM FULL PRICE,197516652264,4/19/2025,124,905.2,13516
004:ECOM FULL PRICE,197516652271,4/19/2025,83,605.9,9047
004:ECOM FULL PRICE,197516652370,4/19/2025,132,1254,15708
004:ECOM FULL PRICE,197516652387,4/19/2025,282,2679,33558
004:ECOM FULL PRICE,197516652394,4/19/2025,321,3049.5,38199
004:ECOM FULL PRICE,197516652400,4/19/2025,257,2441.5,30583
004:ECOM FULL PRICE,197516652417,4/19/2025,160,1520,19040
004:ECOM FULL PRICE,197516652424,4/19/2025,108,1026,12852
004:ECOM FULL PRICE,197516652431,4/19/2025,64,608,7616
004:ECOM FULL PRICE,197516652455,4/19/2025,97,921.5,11543
004:ECOM FULL PRICE,197516652462,4/19/2025,201,1909.5,23919
004:ECOM FULL PRICE,197516652479,4/19/2025,248,2356,29512
004:ECOM FULL PRICE,197516652486,4/19/2025,192,1824,22848
004:ECOM FULL PRICE,197516652493,4/19/2025,110,1045,13090
004:ECOM FULL PRICE,197516652509,4/19/2025,80,760,9520
004:ECOM FULL PRICE,197516652516,4/19/2025,57,541.5,6783
004:ECOM FULL PRICE,197516652615,4/19/2025,90,675,9810
004:ECOM FULL PRICE,197516652622,4/19/2025,144,1080,15696
004:ECOM FULL PRICE,197516652639,4/19/2025,166,1245,18094
