date,country_code,sessions,purchases,revenue
2023-11-02,CA,1972,9,2369.52
2023-11-02,GB,2319,4,1238.38
2023-11-03,CA,1891,10,3052.18
2023-11-03,GB,2195,8,1465.39
2023-11-04,CA,2027,6,1715.38
2023-11-04,GB,2266,13,2670.89
2023-11-05,CA,2246,9,1758.93
2023-11-05,GB,2431,4,973.71
2023-11-06,CA,2014,10,1142.77
2023-11-06,GB,2234,11,2319.37
2023-11-07,CA,2078,10,2446.57
2023-11-07,GB,2061,4,964.25
2023-11-08,CA,1971,11,1986.52
2023-11-08,GB,2039,7,1261.86
2023-11-09,CA,1978,7,1053.4
2023-11-09,GB,2143,13,4236.37
2023-11-10,CA,1869,9,1584.97
2023-11-10,GB,1987,7,1927.09
2023-11-11,CA,2187,7,1903.2
2023-11-11,GB,2216,4,869.5
2023-11-12,CA,2078,7,908.45
2023-11-12,GB,2489,9,1715.82
2023-11-13,CA,2194,6,1364.83
2023-11-13,GB,2100,8,2485.09
2023-11-14,CA,2168,9,1969.66
2023-11-14,GB,2280,5,893.46
2023-11-15,CA,2330,19,3227.55
2023-11-15,GB,2345,9,3188.62
2023-11-16,CA,2402,18,2203.53
2023-11-16,GB,2379,5,855.48
2023-11-17,CA,2587,28,5489.96
2023-11-17,GB,2514,10,2370.67
2023-11-18,CA,2951,26,5070.45
2023-11-18,GB,2787,13,3300.41
2023-11-19,CA,3126,35,6423.88
2023-11-19,GB,3082,13,3417.46
2023-11-20,CA,3139,32,5079.18
2023-11-20,GB,2709,13,2872.33
2023-11-21,CA,3588,28,4365.04
2023-11-21,GB,2807,6,1476.07
2023-11-22,CA,3735,42,7488.4
2023-11-22,GB,2841,11,3110.01
2023-11-23,CA,4383,49,9494.89
2023-11-23,GB,3321,19,4150.48
2023-11-24,CA,5288,101,18419.98
2023-11-24,GB,3795,27,6482.79
2023-11-25,CA,4446,50,7980.96
2023-11-25,GB,3382,18,4251.6
2023-11-26,CA,4215,59,9329.44
2023-11-26,GB,3405,20,4917.37
2023-11-27,CA,4016,47,8577.34
2023-11-27,GB,3061,25,6319.65
2023-11-28,CA,3494,37,6187.13
2023-11-28,GB,2713,15,3603.89
2023-11-29,CA,3167,39,8915.85
2023-11-29,GB,2474,10,1161.68
2023-11-30,CA,3141,40,6643.93
2023-11-30,GB,2390,14,3337.18
2023-12-01,CA,2760,40,6194.17
2023-12-01,GB,2188,17,3701.28
2023-12-02,CA,2679,29,6306.7
2023-12-02,GB,2469,23,5898.37
2023-12-03,CA,2963,30,5344.24
2023-12-03,GB,2685,18,3777.71
2023-12-04,CA,2761,21,3681.86
2023-12-04,GB,2640,19,3406.35
2023-12-05,CA,2618,38,6873.7
2023-12-05,GB,2166,9,2558.57
2023-12-06,CA,2528,25,3871.9
2023-12-06,GB,2269,17,3498.36
2023-12-07,CA,2598,28,3699.26
2023-12-07,GB,2294,14,3037.91
2023-12-08,CA,2612,36,6248.27
2023-12-08,GB,2162,15,4084.75
2023-12-09,CA,2655,49,7699.67
2023-12-09,GB,2461,19,6867.58
2023-12-10,CA,2801,23,3322.33
2023-12-10,GB,2598,7,1848.94
2023-12-11,CA,2665,29,4870.6
2023-12-11,GB,2383,20,3711.24
