date,sessions,purchases,revenue
2024-09-19,1942,14,4209.17
2024-09-20,2025,15,1798.47
2024-09-21,2022,9,1239.01
2024-09-22,2075,14,3309.05
2024-09-23,1931,5,948.62
2024-09-24,2225,9,1757.41
2024-09-25,2098,16,3069.74
2024-09-26,2084,9,2392.65
2024-09-27,2012,14,3024.07
2024-09-28,2396,12,1869.14
2024-09-29,2384,14,1886.93
2024-09-30,2253,11,2340.86
2024-10-01,1921,22,5036.77
2024-10-02,1785,10,1361.72
2024-10-03,1664,11,1627.07
2024-10-04,1802,10,1181.89
2024-10-05,2204,6,637.55
2024-10-06,2437,15,2091.61
2024-10-07,2064,6,971.4
2024-10-08,1989,5,1262.84
2024-10-09,2331,15,2404.08
2024-10-10,2143,15,2345.6
2024-10-11,2229,14,1728.29
2024-10-12,2295,12,1883.39
2024-10-13,2258,12,2198.73
2024-10-14,2504,14,1616.23
2024-10-15,2078,8,1149.68
2024-10-16,1995,11,1490.16
2024-10-17,2124,20,3198.53
2024-10-18,2221,9,1484.01
2024-10-19,2293,11,2187.59
2024-10-20,2617,13,2511.4
2024-10-21,2310,6,873.72
2024-10-22,2504,15,1883.03
2024-10-23,2417,15,2354.17
2024-10-24,2289,23,3342.78
2024-10-25,2433,22,2337.98
2024-10-26,2231,8,1596.93
2024-10-27,2425,18,4046.38
2024-10-28,2219,19,4135.24
2024-10-29,2137,10,1245.88
2024-10-30,2147,16,2394.7
2024-10-31,1767,17,3079.55
2024-11-01,2026,15,3289.08
2024-11-02,2312,17,3267.56
2024-11-03,2644,20,2447.1
2024-11-04,2278,18,2930.26
2024-11-05,2189,19,3030.7
2024-11-06,2088,24,2958.68
2024-11-07,2389,25,3361.86
2024-11-08,2291,14,1556.89
2024-11-09,2444,19,2358.8
2024-11-10,3004,12,2545.84
2024-11-11,2953,22,3420.36
2024-11-12,2528,14,1226.26
2024-11-13,2424,21,2704.22
2024-11-14,2549,27,4127.9
2024-11-15,2393,15,1803.55
2024-11-16,2596,21,2570.05
2024-11-17,3186,27,4487.11
2024-11-18,2707,18,2423.75
2024-11-19,2949,27,4709.25
2024-11-20,2986,17,2811.13
2024-11-21,3089,34,5252.51
2024-11-22,3259,28,3383.41
2024-11-23,3694,27,3330.78
2024-11-24,3946,28,3906.47
2024-11-25,4226,27,3310.94
2024-11-26,4042,28,4464.86
2024-11-27,4102,27,3557.69
2024-11-28,5052,29,4797.74
2024-11-29,6392,86,14753
2024-11-30,4802,40,6723.6
2024-12-01,4306,34,3984.39
2024-12-02,4296,40,5196.76
2024-12-03,3467,34,5237.21
2024-12-04,3293,24,3502.36
2024-12-05,3084,23,2923.79
2024-12-06,2766,18,2043.18
2024-12-07,3167,19,2588.32
2024-12-08,3276,23,2274.73
2024-12-09,3242,33,4044.93
2024-12-10,3270,20,2196.32
2024-12-11,3144,19,3773.04
2024-12-12,2949,28,3604.4
2024-12-13,3050,14,1212.68
2024-12-14,3401,16,2129.1
2024-12-15,3554,26,3398.07
2024-12-16,3216,20,2935.53
2024-12-17,2908,16,3399.37
2024-12-18,2851,19,3368.65
2024-12-19,2700,16,1754.89
2024-12-20,2663,11,1242.76
2024-12-21,2984,20,2726.89
2024-12-22,3384,11,1187.63
2024-12-23,2926,13,1929.35
2024-12-24,2928,16,2124.91
2024-12-25,3997,28,2673.06
2024-12-26,5594,70,9332.77
2024-12-27,3963,34,4633.17
2024-12-28,3471,26,3200.18
2024-12-29,3248,17,1822.14
2024-12-30,3163,28,4390.92
2024-12-31,2787,20,2791.66
2025-01-01,2873,24,4775.14
2025-01-02,2793,16,1531.52
2025-01-03,2787,15,1538.29
2025-01-04,2975,17,1745.13
2025-01-05,2627,14,2328.55
2025-01-06,2352,11,1255.73
2025-01-07,2455,14,2344.25
2025-01-08,2463,10,1350.3
