date,sessions,engaged_sessions
2023-11-30,306678,257993
2023-12-01,306319,261785
2023-12-02,315643,266570
2023-12-03,300145,249712
2023-12-04,251566,199690
2023-12-05,250357,200172
2023-12-06,238489,193893
2023-12-07,243900,199875
2023-12-08,240680,197286
2023-12-09,234883,193176
2023-12-10,243720,201785
2023-12-11,236374,195476
2023-12-12,216939,176054
2023-12-13,228318,186976
2023-12-14,223251,181418
2023-12-15,211961,171815
2023-12-16,210693,171870
2023-12-17,212822,174486
2023-12-18,212922,170584
2023-12-19,193618,156750
2023-12-20,180595,147590
2023-12-21,168317,134370
2023-12-22,159347,128811
2023-12-23,153152,124912
2023-12-24,146035,119621
2023-12-25,188274,156951
2023-12-26,212098,172941
2023-12-27,186819,153504
2023-12-28,179256,144623
2023-12-29,183780,149271
2023-12-30,171774,141968
2023-12-31,148537,114403
2024-01-01,163700,126129
2024-01-02,167587,127387
2024-01-03,150823,115527
2024-01-04,149975,115114
2024-01-05,157199,122781
2024-01-06,171076,134945
2024-01-07,184812,144509
2024-01-08,161193,122045
2024-01-09,168644,129767
2024-01-10,165188,128923
2024-01-11,165410,129165
2024-01-12,171990,133178
2024-01-13,173538,137978
2024-01-14,171893,135648
2024-01-15,167440,128620
2024-01-16,158701,120467
2024-01-17,160386,124286
2024-01-18,156296,125309
2024-01-19,193032,156028
2024-01-20,189112,153000
2024-01-21,180534,145522
2024-01-22,141697,108906
2024-01-23,150002,111950
2024-01-24,157618,114658
2024-01-25,167026,120130
2024-01-26,138713,100337
2024-01-27,144031,106513
2024-01-28,147429,106850
2024-01-29,138021,99646
2024-01-30,141578,103070
2024-01-31,144601,108145
2024-02-01,150456,114487
2024-02-02,142896,107297
2024-02-03,129923,95404
2024-02-04,140219,110819
2024-02-05,137025,107038
2024-02-06,130662,100443
2024-02-07,143072,107888
2024-02-08,151055,118738
2024-02-09,146067,115952
2024-02-10,148369,110602
2024-02-11,157548,117200
2024-02-12,135735,106815
2024-02-13,139688,108551
2024-02-14,134424,107035
2024-02-15,153181,121336
2024-02-16,143729,114585
2024-02-17,154391,124707
2024-02-18,174898,138307
2024-02-19,171083,135959
2024-02-20,167109,131701
2024-02-21,160232,129012
2024-02-22,162666,126436
2024-02-23,150975,118242
2024-02-24,153837,123681
2024-02-25,161010,127694
2024-02-26,170790,135833
2024-02-27,177521,146995
2024-02-28,190720,156155
2024-02-29,168700,139276
2024-03-01,161456,130444
2024-03-02,176114,141826
2024-03-03,161672,127778
2024-03-04,159426,122070
2024-03-05,153316,118340
2024-03-06,145028,112894
2024-03-07,160012,127843
2024-03-08,147882,118741
2024-03-09,165218,131350
2024-03-10,165949,132509
2024-03-11,157767,127070
2024-03-12,156102,126305
2024-03-13,153029,123796
2024-03-14,149432,120226
2024-03-15,145712,112328
2024-03-16,151385,117718
