Date,Total Downloads
2018-10-19,187
2018-10-20,201
2018-10-21,240
2018-10-22,198
2018-10-23,204
2018-10-24,183
2018-10-25,167
2018-10-26,151
2018-10-27,182
2018-10-28,211
2018-10-29,192
2018-10-30,192
2018-10-31,173
2018-11-01,161
2018-11-02,204
2018-11-03,180
2018-11-04,253
2018-11-05,192
2018-11-06,203
2018-11-07,173
2018-11-08,202
2018-11-09,227
2018-11-10,224
2018-11-11,251
2018-11-12,247
2018-11-13,220
2018-11-14,249
2018-11-15,330
2018-11-16,391
2018-11-17,413
2018-11-18,434
2018-11-19,428
2018-11-20,396
2018-11-21,456
2018-11-22,567
2018-11-23,797
2018-11-24,738
2018-11-25,714
2018-11-26,880
2018-11-27,552
2018-11-28,421
2018-11-29,413
2018-11-30,390
2018-12-01,404
2018-12-02,446
2018-12-03,468
2018-12-04,393
2018-12-05,388
2018-12-06,312
2018-12-07,320
2018-12-08,355
2018-12-09,375
2018-12-10,374
2018-12-11,312
2018-12-12,306
2018-12-13,310
2018-12-14,306
2018-12-15,329
2018-12-16,364
2018-12-17,331
2018-12-18,380
2018-12-19,407
2018-12-20,374
2018-12-21,388
2018-12-22,390
2018-12-23,293
2018-12-24,321
2018-12-25,422
2018-12-26,490
2018-12-27,479
2018-12-28,388
2018-12-29,330
2018-12-30,294
2018-12-31,234
2019-01-01,222
2019-01-02,279
2019-01-03,275
2019-01-04,259
2019-01-05,244
2019-01-06,221
2019-01-07,221
2019-01-08,231
2019-01-09,284
2019-01-10,248
2019-01-11,226
2019-01-12,249
2019-01-13,247
2019-01-14,262
2019-01-15,249
2019-01-16,242
2019-01-17,256
2019-01-18,242
2019-01-19,268
2019-01-20,282
2019-01-21,270
2019-01-22,238
2019-01-23,184
2019-01-24,212
2019-01-25,185
2019-01-26,190
2019-01-27,237
2019-01-28,220
2019-01-29,198
2019-01-30,205
2019-01-31,190
2019-02-01,239
2019-02-02,225
2019-02-03,222
2019-02-04,240
2019-02-05,176
2019-02-06,228
2019-02-07,210
2019-02-08,196
2019-02-09,216
2019-02-10,257
2019-02-11,247
2019-02-12,208
2019-02-13,195
2019-02-14,165
2019-02-15,196
