date,sessions,purchases,revenue
2024-05-07,8484,49,12767.97
2024-05-08,9409,88,18014.99
2024-05-09,11092,123,22704.35
2024-05-10,8799,81,14571.63
2024-05-11,8718,42,8575.01
2024-05-12,8612,37,8933.77
2024-05-13,9519,39,11326.95
2024-05-14,9138,46,12539.29
2024-05-15,8521,53,11601.6
2024-05-16,8847,51,14227.58
2024-05-17,8131,42,9343.27
2024-05-18,8609,41,8106.25
2024-05-19,8448,37,7560.93
2024-05-20,8398,42,8385.3
2024-05-21,8340,30,8347.48
2024-05-22,9504,62,14884.32
2024-05-23,8904,52,18079.49
2024-05-24,8135,54,11100.82
2024-05-25,8735,40,10403.08
2024-05-26,11572,65,15489.75
2024-05-27,10183,90,19998.59
2024-05-28,9352,39,7504.75
2024-05-29,9085,68,15085.86
2024-05-30,8878,41,9471.25
2024-05-31,8646,46,10630.96
2024-06-01,8196,42,9030.16
2024-06-02,8523,39,8382.46
2024-06-03,8113,45,11145.1
2024-06-04,7925,44,7691.42
2024-06-05,7826,43,8656.71
2024-06-06,7674,44,8194.47
2024-06-07,7800,38,7611.31
2024-06-08,10049,40,9151.38
2024-06-09,9383,60,11155.58
2024-06-10,9445,35,8195.69
2024-06-11,9061,71,17006.48
2024-06-12,8678,84,22238.81
2024-06-13,9499,82,20030.31
2024-06-14,8964,49,9778.36
2024-06-15,8478,45,12340.95
2024-06-16,9145,55,12350.6
2024-06-17,8470,38,9530.83
2024-06-18,12070,53,12047.42
2024-06-19,9399,53,12011.15
2024-06-20,9354,46,10583.88
2024-06-21,9129,39,9144.36
2024-06-22,8478,38,11970.1
2024-06-23,8855,41,10283.86
2024-06-24,8555,59,15928.01
2024-06-25,8497,50,12424.06
2024-06-26,7975,35,7940.59
2024-06-27,8019,52,11753.59
2024-06-28,8060,47,12011.71
2024-06-29,8327,44,9555.97
2024-06-30,9931,52,11662.84
2024-07-01,9294,59,15028.55
2024-07-02,8823,60,13648.02
2024-07-03,8718,62,13558.4
2024-07-04,8855,53,11985.59
2024-07-05,8136,65,16529.07
2024-07-06,8701,49,13022.59
2024-07-07,8909,40,9022.26
2024-07-08,8593,69,20323.1
2024-07-09,8966,32,6729.57
2024-07-10,8109,38,8550.16
2024-07-11,8530,42,8674.79
2024-07-12,8185,67,13635.91
2024-07-13,8996,63,11957.7
2024-07-14,8825,53,10203.85
2024-07-15,8556,45,11737.13
2024-07-16,9018,72,15949.88
