date,channel,user_type,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-02-01,Referral,new,92,464.63,1,57,25.68,45.96
2023-02-01,SMS,(not set),619,1265.38,9,336,53,83.4
2023-02-01,SMS,established,4451,10760.84,65,2410,579.5,610.87
2023-02-01,SMS,new,10877,17244.08,111,4270,1052.5,1089.05
2023-02-01,Unassigned,(not set),848,1542.24,14,0,126,94.64
2023-02-01,Unassigned,established,129,894.01,7,0,56,34.97
2023-02-01,Unassigned,new,156,1225.37,6,0,77,77.89
2023-02-02,Affiliates,(not set),80,424.75,2,57,0,31.56
2023-02-02,Affiliates,established,569,6849.93,37,425,220.56,502.83
2023-02-02,Affiliates,new,1736,13542.49,97,1247,1033,836.54
2023-02-02,Direct,(not set),678,1921.23,11,206,94.5,117.08
2023-02-02,Direct,established,4569,14395.65,92,3736,1045.2,408.96
2023-02-02,Direct,new,26471,60288.07,412,16535,4223.14,3807.34
2023-02-02,Display,(not set),3,0,0,1,0,0
2023-02-02,Display,established,62,0,0,31,0,0
2023-02-02,Display,new,60,0,0,21,0,0
2023-02-02,Email,(not set),676,1861.8,11,437,88.5,96.57
2023-02-02,Email,established,4510,17406.87,101,3000,727.69,1103.2
2023-02-02,Email,new,9828,29156.31,166,5506,1494.71,1903.6
2023-02-02,Organic Search,(not set),128,237.47,2,81,23,7.21
2023-02-02,Organic Search,established,1138,3867.12,20,837,171.67,213.77
2023-02-02,Organic Search,new,8704,11694.09,75,6286,720.39,679.79
2023-02-02,Organic Shopping,(not set),4,0,0,4,0,0
2023-02-02,Organic Shopping,established,45,890.3,3,32,10,47.84
2023-02-02,Organic Shopping,new,184,332.65,2,135,0,9.67
2023-02-02,Organic Social,(not set),19,0,0,15,0,0
2023-02-02,Organic Social,established,156,189.46,1,122,0,0
2023-02-02,Organic Social,new,868,1338.88,8,641,56,63.26
2023-02-02,Paid Search,(not set),413,1543.08,14,275,141.5,103.96
2023-02-02,Paid Search,established,2780,10007.88,72,1853,669.5,502.6
2023-02-02,Paid Search,new,21141,47439.42,364,13953,3925.5,2669.45
2023-02-02,Paid Social,(not set),253,53.78,1,164,10,2.48
2023-02-02,Paid Social,established,2478,6333.61,38,1586,238.5,313
2023-02-02,Paid Social,new,7075,10684.9,84,3905,720,585.07
2023-02-02,Payment Redirects,(not set),38,880.92,7,32,91.5,40.98
2023-02-02,Payment Redirects,established,135,2159.79,12,109,142,103.91
2023-02-02,Payment Redirects,new,297,4447.98,26,215,244.5,260.56
2023-02-02,Referral,(not set),4,0,0,3,0,0
2023-02-02,Referral,established,64,0,0,46,0,0
2023-02-02,Referral,new,128,517.55,2,74,40.27,14.82
2023-02-02,SMS,(not set),837,2530.61,13,451,75.5,149.72
2023-02-02,SMS,established,6143,13935.36,80,3449,572,787.03
2023-02-02,SMS,new,13506,25509.97,140,5423,1241.5,1520.41
2023-02-02,Unassigned,(not set),879,2390.93,19,0,158.93,143.6
2023-02-02,Unassigned,established,146,3063.39,14,0,106.5,177.68
2023-02-02,Unassigned,new,186,1685.03,9,0,108,86.7
2023-02-03,Affiliates,(not set),82,727.66,6,61,67,49.73
2023-02-03,Affiliates,established,624,7326.22,43,465,370.15,521.12
2023-02-03,Affiliates,new,1651,17310.64,102,1153,805.5,905.51
2023-02-03,Direct,(not set),663,1122.94,9,185,92.5,72.57
2023-02-03,Direct,established,5503,11319.21,77,4436,732,88.2
2023-02-03,Direct,new,26568,62504.46,430,17444,4438.77,3069.54
2023-02-03,Display,(not set),2,0,0,1,0,0
2023-02-03,Display,established,39,0,0,11,0,0
2023-02-03,Display,new,90,0,0,13,0,0
2023-02-03,Email,(not set),769,3404.65,20,479,76,201.71
2023-02-03,Email,established,4603,16170.79,99,3091,780.63,1023.05
2023-02-03,Email,new,11806,25657.56,169,6975,1318.76,1492.78
2023-02-03,Organic Search,(not set),120,280.46,4,75,40,19.83
2023-02-03,Organic Search,established,1180,2846.91,16,878,160.84,136.07
2023-02-03,Organic Search,new,8616,11587.84,81,6277,781.75,498.77
2023-02-03,Organic Shopping,(not set),3,0,0,3,0,0
2023-02-03,Organic Shopping,established,17,0,0,14,0,0
2023-02-03,Organic Shopping,new,128,433.51,3,89,23,17.52
2023-02-03,Organic Social,(not set),9,0,0,7,0,0
2023-02-03,Organic Social,established,126,179.24,2,97,20,11.83
2023-02-03,Organic Social,new,725,2229.45,11,569,50,140.8
2023-02-03,Organic Video,new,2,0,0,2,0,0
2023-02-03,Paid Search,(not set),338,880.01,8,219,85.5,55.52
2023-02-03,Paid Search,established,3057,12578.59,84,2014,705,543.37
2023-02-03,Paid Search,new,21275,49834.34,385,13463,3989.5,2608.5
2023-02-03,Paid Social,(not set),204,847.73,4,129,10,55.75
2023-02-03,Paid Social,established,2359,6626.01,39,1431,300.5,256.17
2023-02-03,Paid Social,new,7405,9553.58,82,3762,742,535.84
2023-02-03,Paid Video,new,1,89.63,1,1,10,7.4
2023-02-03,Payment Redirects,(not set),28,440.74,3,23,42.5,18.25
2023-02-03,Payment Redirects,established,107,1489.01,9,82,150.5,83.15
2023-02-03,Payment Redirects,new,296,4346.4,29,225,318,242.89
2023-02-03,Referral,(not set),9,0,0,7,0,0
2023-02-03,Referral,established,74,68.65,1,50,10,0
2023-02-03,Referral,new,103,83.12,1,57,9.85,0
2023-02-03,SMS,(not set),772,1447.77,12,394,118,80.57
2023-02-03,SMS,established,5501,13414.25,77,2965,552.5,782.84
2023-02-03,SMS,new,14631,18185.84,124,4905,999.5,1064.99
2023-02-03,Unassigned,(not set),859,2534.6,18,0,106,133.75
2023-02-03,Unassigned,established,143,1184.6,5,0,91,94.68
2023-02-03,Unassigned,new,199,1378.91,9,0,56,93.65
2023-02-04,Affiliates,(not set),76,375.67,3,53,33,20.21
2023-02-04,Affiliates,established,525,3683.72,24,373,181,204.33
2023-02-04,Affiliates,new,1786,13702.33,80,1248,628,651.85
2023-02-04,Direct,(not set),571,2109.81,11,192,65.5,141.17
2023-02-04,Direct,established,5436,9010.86,64,4467,767,117.09
2023-02-04,Direct,new,27955,47978.07,358,18454,3515.67,3451.7
2023-02-04,Display,(not set),1,0,0,0,0,0
2023-02-04,Display,established,61,0,0,25,0,0
2023-02-04,Display,new,155,0,0,16,0,0
2023-02-04,Email,(not set),751,3209.28,22,479,145.5,161.23
2023-02-04,Email,established,4116,17737.84,102,2750,790.7,1084.87
2023-02-04,Email,new,12008,25333.77,160,7089,1209.35,1438.7
2023-02-04,Organic Search,(not set),147,218.22,3,108,30,11.82
