date,platform,users
2023-10-18,iOS,1709
2023-10-18,Android,162
2023-10-19,web,13281
2023-10-19,iOS,1711
2023-10-19,Android,195
2023-10-20,web,12283
2023-10-20,iOS,1509
2023-10-20,Android,161
2023-10-21,web,11996
2023-10-21,iOS,1676
2023-10-21,Android,192
2023-10-22,web,12745
2023-10-22,iOS,1810
2023-10-22,Android,174
2023-10-23,web,11842
2023-10-23,iOS,1683
2023-10-23,Android,174
2023-10-24,web,11010
2023-10-24,iOS,1719
2023-10-24,Android,190
2023-10-25,web,15951
2023-10-25,iOS,2113
2023-10-25,Android,233
2023-10-26,web,10975
2023-10-26,iOS,1951
2023-10-26,Android,233
2023-10-27,web,11880
2023-10-27,iOS,1801
2023-10-27,Android,226
2023-10-28,web,8671
2023-10-28,iOS,1454
2023-10-28,Android,163
2023-10-29,web,12728
2023-10-29,iOS,1795
2023-10-29,Android,184
2023-10-30,web,14553
2023-10-30,iOS,1806
2023-10-30,Android,177
2023-10-31,web,10230
2023-10-31,iOS,1351
2023-10-31,Android,153
2023-11-01,web,12038
2023-11-01,iOS,2055
2023-11-01,Android,216
2023-11-02,web,12606
2023-11-02,iOS,2297
2023-11-02,Android,221
2023-11-03,web,11259
2023-11-03,iOS,1976
2023-11-03,Android,207
2023-11-04,web,12349
2023-11-04,iOS,3040
2023-11-04,Android,246
2023-11-05,web,13313
2023-11-05,iOS,2517
2023-11-05,Android,212
2023-11-06,web,13362
2023-11-06,iOS,1871
2023-11-06,Android,165
2023-11-07,web,13363
2023-11-07,iOS,1966
2023-11-07,Android,170
2023-11-08,web,14593
2023-11-08,iOS,2255
2023-11-08,Android,181
2023-11-09,web,15882
2023-11-09,iOS,2369
2023-11-09,Android,250
2023-11-10,web,14884
2023-11-10,iOS,2443
2023-11-10,Android,215
2023-11-11,web,15428
2023-11-11,iOS,2522
2023-11-11,Android,206
2023-11-12,web,16348
2023-11-12,iOS,2752
2023-11-12,Android,215
2023-11-13,web,15966
2023-11-13,iOS,2305
2023-11-13,Android,185
2023-11-14,web,15265
2023-11-14,iOS,2159
2023-11-14,Android,199
2023-11-15,web,16817
2023-11-15,iOS,2596
2023-11-15,Android,241
2023-11-16,web,16384
2023-11-16,iOS,2379
2023-11-16,Android,209
2023-11-17,web,16059
2023-11-17,iOS,2416
2023-11-17,Android,229
2023-11-18,web,16719
2023-11-18,iOS,2789
2023-11-18,Android,285
2023-11-19,web,22067
2023-11-19,iOS,3063
2023-11-19,Android,292
2023-11-20,web,21758
2023-11-20,iOS,3024
2023-11-20,Android,330
2023-11-21,web,24930
2023-11-21,iOS,3774
2023-11-21,Android,348
2023-11-22,web,25623
2023-11-22,iOS,3754
2023-11-22,Android,354
2023-11-23,web,31043
2023-11-23,iOS,4935
2023-11-23,Android,406
2023-11-24,web,49431
2023-11-24,iOS,7173
2023-11-24,Android,633
2023-11-25,web,38553
2023-11-25,iOS,4484
2023-11-25,Android,452
2023-11-26,web,35278
2023-11-26,iOS,4274
2023-11-26,Android,437
2023-11-27,web,49188
2023-11-27,iOS,5978
2023-11-27,Android,486
2023-11-28,web,36465
2023-11-28,iOS,3934
2023-11-28,Android,405
2023-11-29,web,32826
2023-11-29,iOS,3620
2023-11-29,Android,454
2023-11-30,web,34570
2023-11-30,iOS,3516
2023-11-30,Android,422
2023-12-01,web,31481
2023-12-01,iOS,3341
2023-12-01,Android,395
2023-12-02,web,30972
2023-12-02,iOS,3596
2023-12-02,Android,423
2023-12-03,web,30265
2023-12-03,iOS,3787
2023-12-03,Android,442
2023-12-04,web,23423
2023-12-04,iOS,3017
2023-12-04,Android,363
2023-12-05,web,24138
2023-12-05,iOS,3065
2023-12-05,Android,375
2023-12-06,web,24036
2023-12-06,iOS,3164
2023-12-06,Android,354
2023-12-07,web,27348
2023-12-07,iOS,3283
2023-12-07,Android,350
2023-12-08,web,26620
2023-12-08,iOS,3158
2023-12-08,Android,321
2023-12-09,web,23711
2023-12-09,iOS,3126
2023-12-09,Android,349
2023-12-10,web,25975
2023-12-10,iOS,2994
2023-12-10,Android,342
2023-12-11,web,30020
2023-12-11,iOS,3196
2023-12-11,Android,391
2023-12-12,web,23398
2023-12-12,iOS,2857
2023-12-12,Android,308
2023-12-13,web,22518
2023-12-13,iOS,2853
2023-12-13,Android,352
2023-12-14,web,22484
2023-12-14,iOS,3103
2023-12-14,Android,364
2023-12-15,web,20597
2023-12-15,iOS,2818
2023-12-15,Android,324
2023-12-16,web,20763
2023-12-16,iOS,2748
2023-12-16,Android,308
2023-12-17,web,21230
2023-12-17,iOS,2928
2023-12-17,Android,346
2023-12-18,web,19903
2023-12-18,iOS,3042
2023-12-18,Android,301
2023-12-19,web,17184
2023-12-19,iOS,2675
2023-12-19,Android,296
2023-12-20,web,17123
2023-12-20,iOS,2236
2023-12-20,Android,224
2023-12-21,web,12441
2023-12-21,iOS,2005
2023-12-21,Android,226
2023-12-22,web,11231
2023-12-22,iOS,1933
2023-12-22,Android,230
2023-12-23,web,10461
2023-12-23,iOS,1739
2023-12-23,Android,229
2023-12-24,web,9366
2023-12-24,iOS,1670
