date,sessions,engaged_sessions
2024-07-15,131546,
2024-07-16,152181,
2024-07-17,146933,
2024-07-18,173258,
2024-07-19,175145,
2024-07-20,172579,
2024-07-21,184387,
2024-07-22,190448,
2024-07-23,177812,
2024-07-24,178654,
2024-07-25,172058,
2024-07-26,170739,
2024-07-27,179748,
2024-07-28,179976,
2024-07-29,166491,
2024-07-30,165656,
2024-07-31,155331,
2024-08-01,158655,
2024-08-02,166302,
2024-08-03,172418,
2024-08-04,170044,
2024-08-05,171421,
2024-08-06,179007,
2024-08-07,171909,
2024-08-08,166379,
2024-08-09,163487,
2024-08-10,152511,
2024-08-11,166041,
2024-08-12,159093,
2024-08-13,161987,
2024-08-14,158850,
2024-08-15,151490,
2024-08-16,148700,
2024-08-17,166539,
2024-08-18,167644,
2024-08-19,185732,
2024-08-20,187401,
2024-08-21,193731,
2024-08-22,172420,
2024-08-23,145814,
2024-08-24,151870,
2024-08-25,165353,
2024-08-26,149364,
2024-08-27,156024,
2024-08-28,159265,
2024-08-29,167018,
2024-08-30,174136,
2024-08-31,172097,
2024-09-01,177311,
2024-09-02,176445,
2024-09-03,157041,
2024-09-04,156631,
2024-09-05,144041,
2024-09-06,144131,
2024-09-07,154299,
2024-09-08,166021,
2024-09-09,142572,
2024-09-10,148981,
2024-09-11,142515,
2024-09-12,140372,
2024-09-13,148196,
2024-09-14,148673,
2024-09-15,157230,
2024-09-16,159382,
2024-09-17,171486,
2024-09-18,194809,
2024-09-19,194196,
2024-09-20,199381,
2024-09-21,193485,
2024-09-22,182216,
2024-09-23,173114,
2024-09-24,182799,
2024-09-25,174306,
2024-09-26,165923,
2024-09-27,143501,
2024-09-28,164547,
2024-09-29,192234,
2024-09-30,172110,
2024-10-01,161864,
2024-10-02,157628,
2024-10-03,151139,
2024-10-04,134794,
2024-10-05,153699,
2024-10-06,160493,
2024-10-07,152018,
2024-10-08,169075,
2024-10-09,182281,
2024-10-10,185349,
2024-10-11,173067,
2024-10-12,170257,
2024-10-13,170323,
2024-10-14,169614,
2024-10-15,155401,
2024-10-16,169551,
2024-10-17,180025,
2024-10-18,167735,
2024-10-19,177148,
2024-10-20,185982,
2024-10-21,176511,
2024-10-22,188871,
2024-10-23,193226,
2024-10-24,188489,
2024-10-25,191721,
2024-10-26,176918,
2024-10-27,175487,
2024-10-28,158834,
2024-10-29,163532,
2024-10-30,185596,
2024-10-31,157982,
2024-11-01,173336,
2024-11-02,171888,
2024-11-03,208227,
2024-11-04,204602,
2024-11-05,199797,
2024-11-06,202141,
2024-11-07,227132,
2024-11-08,211408,
2024-11-09,211988,
2024-11-10,230700,
2024-11-11,245517,
2024-11-12,212762,
2024-11-13,208042,
2024-11-14,221225,
2024-11-15,215773,
2024-11-16,244818,
2024-11-17,272608,
2024-11-18,238506,
2024-11-19,236329,
2024-11-20,243215,
2024-11-21,246458,
2024-11-22,245530,
2024-11-23,250830,
2024-11-24,289931,
2024-11-25,273889,
2024-11-26,315161,
2024-11-27,304382,
2024-11-28,354018,
2024-11-29,506039,
2024-11-30,414169,
2024-12-01,418890,
2024-12-02,487104,
2024-12-03,442058,
2024-12-04,425104,
2024-12-05,420817,
2024-12-06,382967,
