style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
207733-1700,207733,FP,24M1,4/18/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207733-6873,207733,FP,24M1,3/28/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207733-7326,207733,FP,24M1,3/28/2024,45386,12,13,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207867-1001,207867,OP,23H1,10/25/2024,45257,753,741,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207867-1700,207867,OP,23H1,10/25/2024,45257,493,492,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207867-4116,207867,OP,23H1,10/25/2024,45257,318,311,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207867-6000,207867,OP,23H1,10/25/2024,45257,585,569,0,YES,LIVE,59,39.97,60% OFF,SALE,FURTHER,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207868-1001,207868,OP,23H3,,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207892-1001,207892,OP,23H2,,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207892-1700,207892,OP,23H2,,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207907-1003,207907,FP,24S1,3/22/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207916-1001,207916,FP,24S3,3/14/2024,45372,1,0,0,YES,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207916-1700,207916,FP,24S3,3/14/2024,45372,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207916-5231,207916,FP,24S3,3/14/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207917-1001,207917,FP,24S1,1/5/2024,45353,0,0,0,YES,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207917-1702,207917,FP,24S1,1/5/2024,45350,1,1,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207934-1001,207934,FP,24S2,1/24/2024,,0,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207934-1700,207934,FP,24S2,1/25/2024,45333,-1,0,0,,,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
207934-8307,207934,FP,24S2,1/25/2024,,0,5,0,YES,LIVE,59,49.97,60% OFF,SALE,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
