style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
208031C-1001,FP,24S1,2/2/2024,45329,240,290,0,YES,LIVE,119,119,79,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208042C-2048,FP,24S1,1/29/2024,45351,263,261,0,YES,LIVE,119,119,79,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208149-1001,FP,24S2,2/20/2024,45345,277,300,0,YES,LIVE,119,119,79,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208438C-INKD,FP,24S1,1/19/2024,45331,202,221,0,YES,LIVE,109,109,,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208439C-INPD,FP,24S1,1/19/2024,45328,173,171,0,YES,LIVE,149,149,99,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
204008-1001,OP,20F3,9/18/2021,44091,1,0,0,YES,,139,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
204644-1001,FP,21F3,4/8/2023,44468,4,0,0,YES,,179,119.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
204836-3443,FP,21F1,7/30/2021,44412,-1,0,0,YES,,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205715-6189,FP,22F2,9/26/2022,44832,8,27,0,YES,LIVE,139,119.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205818-1001,FP,22F3,9/16/2022,44800,4,4,0,YES,LIVE,179,149.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205849-HBDD,FP,22H3,3/13/2024,44902,125,120,1,YES,LIVE,199,169.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205890-1001,FP,22H1,10/15/2022,44853,11,11,0,YES,LIVE,179,149.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205999-1001,FP,23H1,9/29/2023,,0,0,0,YES,,119,99.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205999-1053,FP,23S1,9/5/2023,,0,0,0,YES,,119,99.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205999-1702,FP,22M1,9/12/2023,44688,11,7,0,YES,LIVE,119,99.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
